"","SRR20959676","SRR20959677","SRR20959678","SRR20959679","SRR20959680","SRR20959681","SRR20959682"
"SAOUHSC_00258",121,25,34,14,4,4,90
"SAOUHSC_00259",4,0,2,3,1,0,1
"SAOUHSC_00260",2,0,3,0,0,0,2
"SAOUHSC_00261",1,0,0,0,0,3,3
"SAOUHSC_00262",93,41,4,28,43,25,97
"SAOUHSC_00264",0,0,0,0,0,0,0
"SAOUHSC_00265",2,0,0,2,0,0,2
"SAOUHSC_00266",3,6,0,0,3,6,2
"SAOUHSC_00267",12,0,0,0,4,7,77
"SAOUHSC_00268",44,2,5,9,9,19,107
"SAOUHSC_00269",0,0,0,0,1,0,0
"SAOUHSC_00270",0,0,7,3,0,0,3
"SAOUHSC_00271",4,0,46,2,2,0,0
"SAOUHSC_00272",0,0,0,0,0,1,0
"SAOUHSC_00274",0,0,0,0,0,0,3
"SAOUHSC_00275",0,0,0,0,0,0,0
"SAOUHSC_00276",0,0,0,0,0,0,0
"SAOUHSC_00277",0,0,0,0,0,0,0
"SAOUHSC_00278",4,0,0,0,6,0,0
"SAOUHSC_00279",2,0,11,2,0,0,0
"SAOUHSC_00280",0,0,14,7,1,0,24
"SAOUHSC_00281",127,38,68,93,250,14,46
"SAOUHSC_00282",66,51,177,129,155,147,1089
"SAOUHSC_00284",7,5,6,2,1,2,9
"SAOUHSC_00285",344,124,22,375,360,356,239
"SAOUHSC_00287",394,93,82,255,222,139,162
"SAOUHSC_00289",0,0,0,0,0,0,0
"SAOUHSC_00290",116,53,333,194,59,103,228
"SAOUHSC_00291",4,0,0,1,6,4,27
"SAOUHSC_00292",11,0,3,0,5,0,20
"SAOUHSC_00293",9,2,21,19,2,2,27
"SAOUHSC_00294",183,0,126,51,17,11,51
"SAOUHSC_00295",31,3,36,4,11,14,56
"SAOUHSC_00296",41,7,36,4,10,10,86
"SAOUHSC_00297",144,66,114,81,71,108,489
"SAOUHSC_00298",68,4,38,18,14,10,73
"SAOUHSC_00299",37,15,18,1735,18,18,463
"SAOUHSC_00300",215,184,431,3429,376,526,6471
"SAOUHSC_00301",25,16,16,12,44,35,57
"SAOUHSC_00302",72,24,72,88,83,33,408
"SAOUHSC_00303",0,0,0,0,3,0,0
"SAOUHSC_00304",6,0,8,17,9,55,152
"SAOUHSC_00305",0,8,0,2,2,4,129
"SAOUHSC_00306",20,8,16,17,21,2,92
"SAOUHSC_00307",15,2,10,29,10,35,123
"SAOUHSC_00308",2,0,0,14,7,6,31
"SAOUHSC_00309",8,2,13,6,5,8,2
"SAOUHSC_00310",132,14,108,130,98,24,692
"SAOUHSC_00311",13,4,28,9,6,0,133
"SAOUHSC_00312",4,0,0,2,6,2,62
"SAOUHSC_00313",16,0,2,12,49,20,156
"SAOUHSC_00314",14,4,3,0,0,0,14
"SAOUHSC_00315",0,2,4,0,3,2,13
"SAOUHSC_00316",0,2,0,0,1,2,2
"SAOUHSC_00317",42,2,72,26,38,26,140
"SAOUHSC_00318",130,122,72,259,1330,1037,545
"SAOUHSC_00319",3347,1894,476,7273,10853,1740,8760
"SAOUHSC_00320",45,52,63,34,100,43,870
"SAOUHSC_00322",10,2,0,6,5,6,43
"SAOUHSC_00323",28,0,17,8,3,2,10
"SAOUHSC_00324",38,1,0,1,35,4,2
"SAOUHSC_00325",0,1,0,1,0,0,1
"SAOUHSC_00326",16,6,0,5,2,0,16
"SAOUHSC_00327",6,0,15,3,2,2,6
"SAOUHSC_00328",12,12,32,1,4,23,85
"SAOUHSC_00329",9,0,17,0,0,2,14
"SAOUHSC_00330",24,4,0,2,0,14,5
"SAOUHSC_00331",12,0,0,0,0,0,0
"SAOUHSC_00332",16,0,104,8,2,11,18
"SAOUHSC_00333",62,5,441,10,5,15,30
"SAOUHSC_00334",560,17,2655,54,56,86,479
"SAOUHSC_00335",2,0,38,6,8,2,2
"SAOUHSC_00336",98,60,127,542,233,40,360
"SAOUHSC_00337",33,16,10,35,11,7,80
"SAOUHSC_00338",39,9,20,14,23,10,110
"SAOUHSC_00339",14,0,38,35,18,7,61
"SAOUHSC_00340",4,0,0,14,9,6,39
"SAOUHSC_00341",23,0,0,10,2,5,25
"SAOUHSC_00342",11,12,4,2,4,2,3
"SAOUHSC_00344",20,11,5,0,0,4,0
"SAOUHSC_00345",0,0,10,0,0,4,0
"SAOUHSC_00346",33,10,50,14,3,30,51
"SAOUHSC_00347",60,8,25,3,14,19,4
"SAOUHSC_00348",4006,476,898,3836,2384,2123,7681
"SAOUHSC_00349",1316,222,294,1163,914,590,2978
"SAOUHSC_00350",7,0,8,0,2,7,75
"SAOUHSC_00351",0,8,5,6,9,6,2
"SAOUHSC_00352",0,0,0,0,0,2,0
"SAOUHSC_00353",0,0,1,0,0,0,0
"SAOUHSC_00354",2,1,2,1,2,0,2
"SAOUHSC_00355",0,0,3,0,0,0,0
"SAOUHSC_00356",8,9,42,10,10,0,11
"SAOUHSC_00357",4,1,42,4,1,2,77
"SAOUHSC_00358",4,14,28,446,114,2,46
"SAOUHSC_A00354",0,0,0,0,0,0,0
"SAOUHSC_00359",51,17,25,17,21,13,89
"SAOUHSC_00360",43,15,37,25,23,6,235
"SAOUHSC_00362",148,0,11,5,10,91,35
"SAOUHSC_00363",13,0,17,1,0,11,0
"SAOUHSC_00364",72954,8271,14458,48488,28402,29098,77085
"SAOUHSC_00365",2485,104,146,1053,785,526,2488
"SAOUHSC_00366",1381,285,142,590,656,374,674
"SAOUHSC_00367",2185,219,108,2304,1072,750,3212
"SAOUHSC_00368",13,0,0,0,0,0,0
"SAOUHSC_00369",76,10,11,40,56,42,207
"SAOUHSC_00370",17,6,40,0,17,14,50
"SAOUHSC_00371",1776,70,24,270,348,652,1026
"SAOUHSC_00372",12,5,8,4,7,9,41
"SAOUHSC_00373",56,14,53,232,64,54,131
"SAOUHSC_00374",277,34,104,70,241,246,1340
"SAOUHSC_00375",351,36,99,47,184,214,1256
"SAOUHSC_00376",0,0,25,0,1,0,8
"SAOUHSC_00377",0,1,5,0,0,1,0
"SAOUHSC_00378",0,0,4,0,0,2,4
"SAOUHSC_00381a",0,0,0,0,0,0,0
"SAOUHSC_00381",315,0,110,21,40,48,270
"SAOUHSC_00382",598,82,301,298,389,490,1240
"SAOUHSC_00383",5,8,0,0,0,2,0
"SAOUHSC_00384",6,2,2,1,0,0,2
"SAOUHSC_00386",6,4,0,0,6,1,10
"SAOUHSC_00387",7,0,0,0,1,0,0
"SAOUHSC_00389",6,0,0,0,1,2,1
"SAOUHSC_00390",0,0,0,0,0,0,1
"SAOUHSC_00391",0,0,0,0,0,1,0
"SAOUHSC_00392",0,0,1,2,1,0,1
"SAOUHSC_00393",2,0,0,0,0,0,0
"SAOUHSC_00394",2,0,0,2,6,1,2
"SAOUHSC_00395",7,0,1,0,0,1,0
"SAOUHSC_00396",2,0,0,0,0,3,0
"SAOUHSC_00397",28,1,0,1,2,15,34
"SAOUHSC_00398",2,10,1,8,3,1,6
"SAOUHSC_00399",0,0,0,0,0,0,1
"SAOUHSC_00400",0,2,3,0,1,0,4
"SAOUHSC_00401",2646,84,77,340,563,1940,3587
"SAOUHSC_00402",14,4,0,0,8,2,1
"SAOUHSC_00404",1,0,0,0,2,2,0
"SAOUHSC_00405",2,0,0,0,0,0,1
"SAOUHSC_00406",14,0,4,4,2,1,21
"SAOUHSC_00407",0,1,1,0,0,0,1
"SAOUHSC_00408",10,0,4,1,0,1,2
"SAOUHSC_00409",6,3,20,2,3,2,13
"SAOUHSC_00410",2,0,10,0,14,0,110
"SAOUHSC_00411",1,0,1,0,3,0,0
"SAOUHSC_00412",449,130,203,154,319,205,772
"SAOUHSC_00413",4570,518,894,939,1183,1431,4344
"SAOUHSC_00414",48,44,94,35,74,54,237
